iter	Passed	Remaining
0	1	177
1	2	141
2	4	131
3	4	119
4	6	115
5	7	111
6	8	108
7	9	105
8	10	103
9	11	102
10	12	103
11	14	102
12	15	101
13	16	99
14	17	97
15	18	95
16	19	93
17	20	92
18	21	90
19	22	89
20	23	87
21	24	86
22	25	85
23	26	83
24	27	83
25	29	82
26	30	81
27	31	80
28	32	79
29	33	77
30	34	76
31	35	75
32	36	74
33	37	72
34	38	71
35	39	70
36	40	69
37	41	68
38	43	67
39	44	66
40	45	64
41	45	62
42	46	61
43	47	60
44	48	59
45	49	58
46	50	57
47	51	56
48	52	54
49	53	53
50	55	53
51	56	52
52	57	50
53	58	49
54	59	48
55	60	47
56	61	46
57	62	45
58	63	43
59	64	42
60	65	41
61	66	40
62	67	39
63	68	38
64	69	37
65	71	36
66	72	35
67	73	34
68	74	33
69	75	32
70	76	31
71	78	30
72	79	29
73	80	28
74	81	27
75	82	26
76	84	25
77	85	24
78	86	22
79	87	21
80	88	20
81	89	19
82	90	18
83	92	17
84	93	16
85	94	15
86	95	14
87	96	13
88	97	12
89	99	11
90	100	9
91	101	8
92	102	7
93	103	6
94	104	5
95	105	4
96	106	3
97	107	2
98	108	1
99	109	0
